,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source
274,Cindy Schwulst,Cindy,Schwulst,female,ZA,Africa,1991,False,False,wikidata
275,Cindy Swanepoel,Cindy,Swanepoel,female,ZA,Africa,1981,False,False,wikidata
276,Nobuhle Mahlasela,Nobuhle,Mahlasela,female,ZA,Africa,1982,False,False,wikidata
277,Nejla Nouaili,Nejla,Nouaili,female,TN,Africa,1980,False,False,wikidata
278,Josina Z. Machel,,,female,MZ,Africa,1976,True,False,wikidata
279,Fatma Ayadi,Fatma,Ayadi,female,TN,Africa,1979,False,False,wikidata
280,Retha Heymann,Retha,Heymann,female,ZA,Africa,2000,False,False,wikidata
281,Boutheina Hafassa,Boutheina,Hafassa,female,TN,Africa,1986,False,False,wikidata
282,Marwa Dridi,Marwa,Dridi,female,TN,Africa,1986,False,False,wikidata
283,Houda Barkouki,Houda,Barkouki,female,MA,Africa,1989,False,False,wikidata
284,Dama Bete,Dama,Bete,female,MZ,Africa,1984,False,False,wikidata
285,Rebecca Kadaga,Rebecca,Kadaga,female,UG,Africa,1956,False,False,wikidata
286,Dulce Braga,Dulce,Braga,female,AO,Africa,1958,False,False,wikidata
287,Elisa Cossa,Elisa,Cossa,female,MZ,Africa,1980,False,False,wikidata
288,Hélène Diarra,,,female,ML,Africa,1955,False,False,wikidata
289,Eva Nill,Eva,Nill,female,EG,Africa,1909,False,False,wikidata
290,Lindiwe Chibi,Lindiwe,Chibi,female,ZA,Africa,1976,False,False,wikidata
291,Precious Simelane,Precious,Simelane,female,ZA,Africa,1977,False,False,wikidata
292,Chantel Clifton-Parks,,,female,ZA,Africa,2000,False,False,wikidata
293,Muriel Blanche,Muriel,Blanche,female,CM,Africa,1990,False,False,wikidata
294,Janice Acquah,Janice,Acquah,female,GH,Africa,1967,False,False,wikidata
295,Gugu Dlamini,Gugu,Dlamini,female,ZA,Africa,1962,False,False,wikidata
296,Khalifa Es-Sebaiy,,,female,MA,Africa,1977,False,False,wikidata
297,Hermínia da Cruz Fortes,,,female,,Africa,1941,True,False,wikidata
298,Malika Agueznay,Malika,Agueznay,female,MA,Africa,1934,False,False,wikidata
299,Camilla George,Camilla,George,female,NG,Africa,1988,False,False,wikidata
300,Asma Guesmi,Asma,Guesmi,female,DZ,Africa,1988,False,False,wikidata
301,Desiree Edwards,Desiree,Edwards,female,ZA,Africa,2000,False,False,wikidata
302,Valerie Bridgens,Valerie,Bridgens,female,ZA,Africa,2000,False,False,wikidata
303,Donna Caldwell,Donna,Caldwell,female,ZA,Africa,2000,False,False,wikidata
304,Renee Aucamp,Renee,Aucamp,female,ZA,Africa,2000,False,False,wikidata
305,Margaret Fombe Fube,,,female,CM,Africa,1960,True,False,wikidata
306,Isabel Ferreira,Isabel,Ferreira,female,AO,Africa,1960,False,False,wikidata
307,Soufia Benhida,Soufia,Benhida,female,MA,Africa,1989,False,False,wikidata
308,Naomi Beukes-Meyer,,,female,,Africa,1965,False,False,wikidata
309,Marwa Khalil,Marwa,Khalil,female,TN,Africa,1988,False,False,wikidata
310,Chiamaka Okoli,Chiamaka,Okoli,female,NG,Africa,1987,False,False,wikidata
311,Bouthaina Abdelhedi,Bouthaina,Abdelhedi,female,TN,Africa,1977,False,False,wikidata
312,Angela Ankomaah Tabiri,,,female,GH,Africa,1990,True,False,wikidata
313,Aicha Driouch,Aicha,Driouch,female,MA,Africa,1991,False,False,wikidata
314,Mel Gambôa,,,female,AO,Africa,1984,False,False,wikidata
315,Nancy Vieira,Nancy,Vieira,female,,Africa,1975,False,False,wikidata
316,Nayma Mingas,Nayma,Mingas,female,AO,Africa,1974,False,False,wikidata
317,Odete Semedo,Odete,Semedo,female,GW,Africa,1959,False,False,wikidata
318,Philomena Obiageliuwa Uyanwah,,,female,NG,Africa,1938,True,False,wikidata
319,Carine Mbuh Ndoum Yoh,,,female,CM,Africa,1993,True,False,wikidata
320,Rachel Muyal,Rachel,Muyal,female,MA,Africa,1933,False,False,wikidata
321,Aisha Jawara,Aisha,Jawara,female,GM,Africa,1988,False,False,wikidata
322,Sita Valles,Sita,Valles,female,AO,Africa,1951,False,False,wikidata
323,Maria de Jesus Pereira Issungo,,,female,AO,Africa,1958,True,False,wikidata
324,Wafa Kamil Fayid,,,female,,Africa,1942,True,False,wikidata
325,Cesária Évora,,,female,,Africa,1941,False,False,wikidata
326,Taciana Lima,Taciana,Lima,female,GW,Africa,1983,False,False,wikidata
327,Boutheina El Ouaer,,,female,TN,Africa,1984,True,False,wikidata
328,Sibonisiwe Sithole,Sibonisiwe,Sithole,female,ZW,Africa,1982,False,False,wikidata
329,Precious Mustapha,Precious,Mustapha,female,NG,Africa,1997,False,False,wikidata
