,Unnamed: 0,person,person_label,genders,dobs,countries,continents,hasMiddleName,hasProblematicName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason
114,114.0,http://www.wikidata.org/entity/Q101053660,Rosemary Aluoch,female,1976-07-05T00:00:00Z,Kenya,Africa,False,False,False,Rosemary Aluoch,False,
115,115.0,http://www.wikidata.org/entity/Q101063239,Adanech Abebe,female,1950-01-01T00:00:00Z,Ethiopia,Africa,False,False,False,Adanech Abebe,False,
116,116.0,http://www.wikidata.org/entity/Q101064944,Charlbi Dean,female,1990-02-05T00:00:00Z,South Africa,Africa,False,False,False,Charlbi Dean,False,
117,117.0,http://www.wikidata.org/entity/Q101069531,Mariam Selim,female,2002-10-24T00:00:00Z,Egypt,Africa,False,False,False,Mariam Selim,False,
118,118.0,http://www.wikidata.org/entity/Q101072601,Sisay Meseret Gola,female,1997-12-30T00:00:00Z,Ethiopia,Africa,True,False,False,Sisay Meseret Gola,False,
119,119.0,http://www.wikidata.org/entity/Q101088489,Virginia Khunguni,female,1989-01-01T00:00:00Z,Malawi,Africa,False,False,False,Virginia Khunguni,False,
120,120.0,http://www.wikidata.org/entity/Q101088805,Leslie Witz,female,1959-01-13T00:00:00Z,South Africa,Africa,False,False,False,Leslie Witz,False,
121,121.0,http://www.wikidata.org/entity/Q101097166,Aisha Tsamiya,female,1992-01-01T00:00:00Z,Nigeria,Africa,False,False,False,Aisha Tsamiya,False,
122,122.0,http://www.wikidata.org/entity/Q101115022,Leila Nakabira,female,1993-01-01T00:00:00Z,Uganda,Africa,False,False,False,Leila Nakabira,False,
123,123.0,http://www.wikidata.org/entity/Q101118261,Fati Washa,female,1993-02-21T00:00:00Z,Nigeria,Africa,False,False,False,Fati Washa,False,
124,124.0,http://www.wikidata.org/entity/Q101130581,Simone Ackermann,female,1990-02-01T00:00:00Z,South Africa,Africa,False,False,False,Simone Ackermann,False,
125,125.0,http://www.wikidata.org/entity/Q101137395,Karabo Poppy Moletsane,female,1993-01-01T00:00:00Z,South Africa,Africa,True,False,False,Karabo Poppy Moletsane,False,
126,126.0,http://www.wikidata.org/entity/Q101138918,Hajia Jumai Bello,female,1941-01-01T00:00:00Z,Nigeria,Africa,True,False,False,Hajia Jumai Bello,False,
127,127.0,http://www.wikidata.org/entity/Q101149289,Fati Shu'uma,female,1994-01-01T00:00:00Z,Nigeria,Africa,False,False,False,Fati Shu'uma,True,apostrophe
128,128.0,http://www.wikidata.org/entity/Q101198632,Patricia Francourt,female,1965-01-01T00:00:00Z,Seychelles,Africa,False,False,False,Patricia Francourt,False,
129,129.0,http://www.wikidata.org/entity/Q101198923,Devika Vidot,female,1988-11-18T00:00:00Z,Seychelles,Africa,False,False,False,Devika Vidot,False,
130,130.0,http://www.wikidata.org/entity/Q101207557,Yola Mgogwana,female,2008-01-01T00:00:00Z,South Africa,Africa,False,False,False,Yola Mgogwana,False,
131,131.0,http://www.wikidata.org/entity/Q101208454,Aliaa Saleh,female,2004-08-04T00:00:00Z,Egypt,Africa,False,False,False,Aliaa Saleh,False,
132,132.0,http://www.wikidata.org/entity/Q101208465,Sana Elsherbiny,female,2004-01-01T00:00:00Z,Egypt,Africa,False,False,False,Sana Elsherbiny,False,
133,133.0,http://www.wikidata.org/entity/Q101208480,Polina Fouda,female,2003-06-17T00:00:00Z,Egypt,Africa,False,False,False,Polina Fouda,False,
134,134.0,http://www.wikidata.org/entity/Q101208486,Salma Saleh,female,2003-12-19T00:00:00Z,Egypt,Africa,False,False,False,Salma Saleh,False,
135,135.0,http://www.wikidata.org/entity/Q101208492,Tia Sobhy,female,2003-02-07T00:00:00Z,Egypt,Africa,False,False,False,Tia Sobhy,False,
136,136.0,http://www.wikidata.org/entity/Q101208544,Malak Selim,female,2003-05-01T00:00:00Z,Egypt,Africa,False,False,False,Malak Selim,False,
137,137.0,http://www.wikidata.org/entity/Q101208559,Login Elsasyed,female,2003-01-01T00:00:00Z,Egypt,Africa,False,False,False,Login Elsasyed,False,
138,138.0,http://www.wikidata.org/entity/Q101208747,Sara Rostom,female,1996-01-01T00:00:00Z,Egypt,Africa,False,False,False,Sara Rostom,False,
139,139.0,http://www.wikidata.org/entity/Q101210362,Mary Caroline Gomez,female,2000-01-01T00:00:00Z,The Gambia,Africa,True,False,False,Mary Caroline Gomez,False,
140,140.0,http://www.wikidata.org/entity/Q101210613,Janet Karim,female,1954-01-01T00:00:00Z,Malawi,Africa,False,False,False,Janet Karim,False,
141,141.0,http://www.wikidata.org/entity/Q101244291,Zainab Gimba,female,1972-12-25T00:00:00Z,Nigeria,Africa,False,False,False,Zainab Gimba,False,
142,142.0,http://www.wikidata.org/entity/Q101246698,Joana Nnazua Kolo,female,1993-01-01T00:00:00Z,Nigeria,Africa,True,False,False,Joana Nnazua Kolo,False,
143,143.0,http://www.wikidata.org/entity/Q101246870,Farah Hussein,female,2001-10-07T00:00:00Z,Egypt,Africa,False,False,False,Farah Hussein,False,
144,144.0,http://www.wikidata.org/entity/Q101246940,Mandy Mohamed,female,2000-02-23T00:00:00Z,Egypt,Africa,False,False,False,Mandy Mohamed,False,
145,145.0,http://www.wikidata.org/entity/Q101246964,Farah Salem,female,2001-03-01T00:00:00Z,Egypt,Africa,False,False,False,Farah Salem,False,
146,146.0,http://www.wikidata.org/entity/Q101247067,Adekemi Adesida,female,1991-05-28T00:00:00Z,Nigeria,Africa,False,False,False,Adekemi Adesida,False,
147,147.0,http://www.wikidata.org/entity/Q101247074,Amenaghawon Osaretin Melvin,female,1995-07-05T00:00:00Z,Nigeria,Africa,True,False,False,Amenaghawon Osaretin Melvin,False,
148,148.0,http://www.wikidata.org/entity/Q101247084,Helen Ocheke,female,1989-05-06T00:00:00Z,Nigeria,Africa,False,False,False,Helen Ocheke,False,
149,149.0,http://www.wikidata.org/entity/Q101247093,Adenike Oyekunle,female,1996-08-02T00:00:00Z,Nigeria,Africa,False,False,False,Adenike Oyekunle,False,
150,150.0,http://www.wikidata.org/entity/Q101247151,Oluwadamilola Oluwafemi,female,1994-10-27T00:00:00Z,Nigeria,Africa,False,False,False,Oluwadamilola Oluwafemi,False,
151,151.0,http://www.wikidata.org/entity/Q101247335,Cathryn Credo,female,1997-08-02T00:00:00Z,Tanzania,Africa,False,False,False,Cathryn Credo,False,
152,152.0,http://www.wikidata.org/entity/Q101328026,Sheila Munyiva,female,1993-03-27T00:00:00Z,Kenya,Africa,False,False,False,Sheila Munyiva,False,
153,153.0,http://www.wikidata.org/entity/Q101405604,Michelle Abueng,female,2001-05-06T00:00:00Z,Botswana,Africa,False,False,False,Michelle Abueng,False,
154,154.0,http://www.wikidata.org/entity/Q101412106,Adèle Degbalase Kanda,female,1950-01-01T00:00:00Z,Democratic Republic of the Congo,Africa,True,False,False,Adèle Degbalase Kanda,True,non_ascii
155,155.0,http://www.wikidata.org/entity/Q101423280,Henrietta Mbawah,female,1988-01-01T00:00:00Z,Sierra Leone,Africa,False,False,False,Henrietta Mbawah,False,
